iter	F1	Logloss
0	0.7485161667	0.6899325255
1	0.7575229282	0.6865889591
2	0.7721650803	0.681827696
3	0.7795457757	0.6782213194
4	0.7930557707	0.6732102093
5	0.7955940652	0.671441593
6	0.7960821345	0.6679068832
7	0.7929912048	0.6653537578
8	0.7872088954	0.6623896321
9	0.7933573741	0.6580461936
10	0.7908019733	0.6544227502
11	0.7861495086	0.6507059646
12	0.7901825076	0.6476889982
13	0.79125432	0.6446217908
14	0.793291617	0.6427686415
15	0.7954650436	0.639122037
16	0.7978729926	0.6369887703
17	0.7919312132	0.6338915445
18	0.7937826686	0.6309997227
19	0.8007918045	0.6286822724
20	0.7944462938	0.6265045792
21	0.7944462938	0.6239531458
22	0.7951725235	0.6217876602
23	0.7990104234	0.6193735282
24	0.7957758501	0.6168112526
25	0.7981453951	0.6152442055
26	0.7960243887	0.6133249541
27	0.7963932926	0.6114484521
28	0.7955275715	0.6101933473
29	0.7971335977	0.6081507297
30	0.7956520758	0.6060830618
31	0.7954023307	0.6036319232
32	0.7936461157	0.600406956
33	0.7943983335	0.598210582
34	0.7943335241	0.5967344428
35	0.7957119194	0.5946347988
36	0.7942685211	0.59242341
37	0.795774786	0.5897887937
38	0.7956488648	0.5872508048
39	0.7941379313	0.5863318546
40	0.7941379313	0.5842112974
41	0.7972772921	0.5822607994
42	0.796526508	0.5803307378
43	0.7956488648	0.5777542255
44	0.7942033238	0.5759958764
45	0.7935139748	0.574494841
46	0.7941379313	0.5731453255
47	0.7957119194	0.5720429128
48	0.7955856213	0.5705326272
49	0.796972739	0.5689224879
50	0.7962161278	0.5668989966
51	0.7953307417	0.56451325
52	0.7945698563	0.5629613324
53	0.7946350495	0.5615429514
54	0.7946350495	0.5601457209
55	0.7946350495	0.5586693626
56	0.7939405734	0.5566674131
57	0.7946350495	0.5551884117
58	0.7945698563	0.5537475271
59	0.7945698563	0.553136788
60	0.795266541	0.552224395
61	0.795266541	0.5512132648
62	0.7975469956	0.5495839039
63	0.796787804	0.547863519
64	0.796787804	0.5472691814
65	0.796787804	0.5459337036
66	0.796787804	0.544545285
67	0.7961534918	0.54295669
68	0.7953947492	0.5418341031
69	0.7953307417	0.540335128
70	0.7953947492	0.5388988104
71	0.7953947492	0.5373434862
72	0.7962785761	0.53610145
73	0.7962785761	0.5354657247
74	0.7962785761	0.5344556277
75	0.7955221882	0.5330330967
76	0.7955221882	0.5319725212
77	0.7954585644	0.5304350856
78	0.7968496345	0.5296782005
79	0.7968496345	0.5286698393
80	0.7976076455	0.5278598844
81	0.798364702	0.5264727184
82	0.7976076455	0.5251964744
83	0.7976076455	0.5241445087
84	0.7976076455	0.5233721177
85	0.7976076455	0.522476012
86	0.7976076455	0.5212995769
87	0.7976076455	0.5205485193
88	0.7976076455	0.5196477189
89	0.7976681132	0.5184346867
90	0.7976681132	0.5175906424
91	0.7976681132	0.5168323691
92	0.7969112792	0.5155006137
93	0.796972739	0.5145437514
94	0.796972739	0.5139963157
95	0.7976681132	0.512630924
96	0.796972739	0.5117678449
97	0.796972739	0.5104744119
98	0.798364702	0.5094963479
99	0.7969112792	0.50831033
100	0.7976076455	0.5076581676
101	0.7975469956	0.5069011248
102	0.7990625084	0.5059619063
103	0.7997615358	0.5053568638
104	0.7997615358	0.5045824973
105	0.801163266	0.5036913243
