iter	Passed	Remaining
0	147	29318
1	152	15052
2	157	10321
3	162	7941
4	167	6520
5	169	5478
6	174	4823
7	179	4317
8	184	3919
9	189	3600
10	194	3334
11	198	3112
12	203	2928
13	208	2764
14	212	2622
15	217	2501
16	220	2372
17	224	2273
18	229	2183
19	234	2107
20	239	2038
21	243	1973
22	249	1916
23	254	1864
24	259	1816
25	265	1773
26	270	1730
27	274	1688
28	279	1650
29	285	1616
30	291	1589
31	296	1557
32	301	1526
33	305	1492
34	310	1464
35	315	1436
36	320	1411
37	325	1386
38	329	1362
39	333	1335
40	339	1315
41	344	1294
42	348	1273
43	354	1255
44	359	1237
45	364	1218
46	368	1199
47	373	1181
48	377	1164
49	382	1147
50	387	1131
51	392	1115
52	396	1098
53	398	1078
54	403	1064
55	406	1045
56	412	1034
57	417	1021
58	422	1009
59	425	991
60	427	975
61	432	963
62	437	951
63	442	940
64	444	923
65	449	913
66	455	903
67	459	892
68	464	881
69	469	871
70	473	861
71	478	851
72	483	841
73	485	826
74	490	817
75	495	808
76	500	799
77	505	790
78	508	778
79	513	770
80	518	761
81	523	753
82	529	746
83	534	738
84	538	728
85	545	723
86	550	715
87	553	703
88	558	696
89	563	689
90	569	681
91	574	674
92	579	666
93	584	659
94	589	652
95	595	644
96	598	635
97	604	628
98	609	621
99	614	614
100	619	607
101	624	600
102	629	592
103	634	586
104	640	579
105	644	571
106	648	563
107	653	556
108	658	549
109	663	543
110	668	535
111	673	528
112	677	521
113	682	514
114	686	507
115	689	498
116	693	492
117	698	485
118	703	478
119	708	472
120	713	465
121	718	459
122	723	452
123	727	446
124	732	439
125	737	433
126	742	426
127	744	418
128	749	412
129	754	406
130	758	399
131	763	393
132	769	387
133	772	380
134	777	374
135	782	368
136	787	362
137	791	355
138	797	349
139	801	343
140	806	337
141	812	331
142	817	325
143	822	319
144	827	313
145	832	307
146	837	302
147	842	296
148	845	289
149	849	283
150	855	277
151	860	271
152	863	265
153	868	259
154	871	253
155	874	246
156	879	240
157	885	235
158	889	229
159	894	223
160	900	218
161	902	211
162	907	206
163	912	200
164	917	194
165	922	189
166	928	183
167	932	177
168	937	172
169	943	166
170	949	160
171	954	155
172	960	149
173	964	144
174	969	138
175	974	132
176	979	127
177	984	121
178	989	116
179	994	110
180	999	104
181	1004	99
182	1009	93
183	1014	88
184	1017	82
185	1023	77
186	1028	71
187	1036	66
188	1041	60
189	1046	55
190	1051	49
191	1056	44
192	1061	38
193	1066	32
194	1070	27
195	1074	21
196	1079	16
197	1084	10
198	1086	5
199	1091	0
